objectId,witness
sp_352_Normalized,"{""emitEvent"":false,""vendor"":"""",""name"":"""",""parameters"":{""pii"":[],""strategy"":{""pseudonymize"":{""hashFunction"":""MD2"",""salt"":""""}}},""enabled"":false}"
sp_95_Normalized,"{""items"":[]}"
sp_94_Normalized,"{""items"":[]}"
sp_409_Normalized,"{""deviceClass"":""Desktop""}"
sp_80_Normalized,"{""items"":[]}"
sp_81_Normalized,"{""items"":[]}"
sp_123_Normalized,{}
sp_279_Normalized,{}
sp_82_Normalized,"{""items"":[]}"
sp_410_Normalized,"{""deviceClass"":""Desktop""}"
sp_411_Normalized,"{""deviceClass"":""Desktop""}"
sp_13_Normalized,"{""notification"":{""body"":"""",""title"":""""},""threadIdentifier"":"""",""action"":"""",""trigger"":""PUSH"",""deliveryDate"":"""",""categoryIdentifier"":""""}"
sp_12_Normalized,"{""notification"":{""title"":"""",""body"":""""},""threadIdentifier"":"""",""action"":"""",""trigger"":""PUSH"",""categoryIdentifier"":"""",""deliveryDate"":""""}"
sp_79_Normalized,"{""items"":[]}"
sp_375_Normalized,"{""timestamps"":{""min"":"""",""max"":"""",""jobCompleted"":"""",""jobStarted"":""""},""typesInfo"":{""types"":[],""transformation"":""SHREDDED""},""compression"":""GZIP"",""processor"":{""artifact"":"""",""version"":""""},""base"":""""}"
sp_348_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""outputs"":[{""schema"":""iglu:-/-/-/1-0-0"",""json"":{""jsonPath"":""$""}}],""cache"":{""size"":0,""ttl"":0},""inputs"":[],""api"":{""http"":{""method"":""GET"",""uri"":"""",""timeout"":1,""authentication"":{}}}},""enabled"":false}"
sp_347_Normalized,"{""vendor"":"""",""name"":"""",""parameters"":{""outputs"":[{""schema"":""iglu:-/-/-/1-0-0"",""json"":{""jsonPath"":""$""}}],""cache"":{""size"":1,""ttl"":0},""inputs"":[],""api"":{""http"":{""method"":""GET"",""uri"":"""",""timeout"":1,""authentication"":{}}}},""enabled"":true}"
sp_124_Normalized,{}
sp_209_Normalized,"{""input"":"""",""lint"":{""includedChecks"":[],""skipWarnings"":false},""actions"":[],""generate"":{""output"":"""",""owner"":"""",""noHeader"":false,""dbschema"":""\u0000"",""withJsonPaths"":false,""varcharSize"":1,""force"":false}}"
sp_129_Normalized,{}
sp_87_Normalized,"{""transaction_id"":"""",""items"":[]}"
sp_162_Normalized,{}
sp_280_Normalized,{}
sp_88_Normalized,"{""transaction_id"":""""}"
sp_418_Normalized,"{""defaultPlaybackRate"":-7.18911100640712E15,""controls"":true,""defaultMuted"":true,""mediaType"":""AUDIO"",""htmlId"":"""",""error"":{},""preload"":"""",""seeking"":true,""networkState"":""NETWORK_EMPTY"",""seekable"":[],""buffered"":[],""readyState"":""HAVE_NOTHING"",""currentSrc"":"""",""autoPlay"":true}"
sp_281_Normalized,{}
sp_130_Normalized,{}
